name,symbol,isin,asset_class,instrument_type,provider,whitelist
Jammu and Kashmir Grameen Bank,JKGB,JKGB,CASH,SAVING_ACCOUNT,JKGB,TRUE
Jharkhand Rajya Gramin Bank,JRGB,JRGB,CASH,SAVING_ACCOUNT,JRGB,TRUE
Karnataka Gramin Bank,KGB,KGB,CASH,SAVING_ACCOUNT,KGB,TRUE
Karnataka Vikas Grameena Bank,KVGB,KVGB,CASH,SAVING_ACCOUNT,KVGB,TRUE
Kerala Gramin Bank,KERALAGB,KERALAGB,CASH,SAVING_ACCOUNT,KERALAGB,TRUE
Madhya Pradesh Gramin Bank,MPGB,MPGB,CASH,SAVING_ACCOUNT,MPGB,TRUE
Madhyanchal Gramin Bank,MGB,MGB,CASH,SAVING_ACCOUNT,MGB,TRUE
Maharashtra Gramin Bank,MAHAGB,MAHAGB,CASH,SAVING_ACCOUNT,MAHAGB,TRUE
Vidarbha Konkan Gramin Bank,VKGB,VKGB,CASH,SAVING_ACCOUNT,VKGB,TRUE
Manipur Rural Bank,MRB,MRB,CASH,SAVING_ACCOUNT,MRB,TRUE
Meghalaya Rural Bank,MEGHRB,MEGHRB,CASH,SAVING_ACCOUNT,MEGHRB,TRUE
Mizoram Rural Bank,MIZORB,MIZORB,CASH,SAVING_ACCOUNT,MIZORB,TRUE
Nagaland Rural Bank,NRB,NRB,CASH,SAVING_ACCOUNT,NRB,TRUE
Odisha Gramya Bank,OGB,OGB,CASH,SAVING_ACCOUNT,OGB,TRUE
Utkal Grameen Bank,UGB,UGB,CASH,SAVING_ACCOUNT,UGB,TRUE
Puduvai Bharathiar Grama Bank,PBGB,PBGB,CASH,SAVING_ACCOUNT,PBGB,TRUE
Punjab Gramin Bank,PGB,PGB,CASH,SAVING_ACCOUNT,PGB,TRUE
Rajasthan Marudhara Gramin Bank,RMGB,RMGB,CASH,SAVING_ACCOUNT,RMGB,TRUE
Baroda Rajasthan Kshetriya Gramin Bank,BRKGB,BRKGB,CASH,SAVING_ACCOUNT,BRKGB,TRUE
Tamil Nadu Grama Bank,TNGB,TNGB,CASH,SAVING_ACCOUNT,TNGB,TRUE
Telangana Grameena Bank,TGB,TGB,CASH,SAVING_ACCOUNT,TGB,TRUE
Tripura Gramin Bank,TRIGB,TRIGB,CASH,SAVING_ACCOUNT,TRIGB,TRUE
Aryavart Bank,ARYAVART,ARYAVART,CASH,SAVING_ACCOUNT,ARYAVART,TRUE
Baroda UP Bank,BUPB,BUPB,CASH,SAVING_ACCOUNT,BUPB,TRUE
Prathama UP Gramin Bank,PUGB,PUGB,CASH,SAVING_ACCOUNT,PUGB,TRUE
Uttarakhand Gramin Bank,UKGB,UKGB,CASH,SAVING_ACCOUNT,UKGB,TRUE
Bangiya Gramin Vikash Bank,BGVB,BGVB,CASH,SAVING_ACCOUNT,BGVB,TRUE
Paschim Banga Gramin Bank,PBGBANK,PBGBANK,CASH,SAVING_ACCOUNT,PBGBANK,TRUE
Uttarbanga Kshetriya Gramin Bank,UKSGB,UKSGB,CASH,SAVING_ACCOUNT,UKSGB,TRUE
20 Microns Limited,20MICRONS,INE144J01027,STOCK,EQUITY,NSE,TRUE
21st Century Management Services Limited,21STCENMGM,INE253B01015,STOCK,EQUITY,NSE,TRUE
360 ONE WAM LIMITED,360ONE,INE466L01038,STOCK,EQUITY,NSE,TRUE
3i Infotech Limited,3IINFOLTD,INE748C01038,STOCK,EQUITY,NSE,TRUE
3M India Limited,3MINDIA,INE470A01017,STOCK,EQUITY,NSE,TRUE
3P Land Holdings Limited,3PLAND,INE105C01023,STOCK,EQUITY,NSE,TRUE
5Paisa Capital Limited,5PAISA,INE618L01018,STOCK,EQUITY,NSE,TRUE
63 moons technologies limited,63MOONS,INE111B01023,STOCK,EQUITY,NSE,TRUE
A2Z Infra Engineering Limited,A2ZINFRA,INE619I01012,STOCK,EQUITY,NSE,TRUE
AAA Technologies Limited,AAATECH,INE0D0U01013,STOCK,EQUITY,NSE,TRUE
Aadhar Housing Finance Limited,AADHARHFC,INE883F01010,STOCK,EQUITY,NSE,TRUE
Aakash Exploration Services Limited,AAKASH,INE087Z01024,STOCK,EQUITY,NSE,TRUE
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,INE198H01019,STOCK,EQUITY,NSE,TRUE
Aarnav Fashions Limited,AARNAV,INE750R01016,STOCK,EQUITY,NSE,TRUE
Aaron Industries Limited,AARON,INE721Z01010,STOCK,EQUITY,NSE,TRUE
Aartech Solonics Limited,AARTECH,INE01C001026,STOCK,EQUITY,NSE,TRUE
Aarti Drugs Limited,AARTIDRUGS,INE767A01016,STOCK,EQUITY,NSE,TRUE
Aarti Industries Limited,AARTIIND,INE769A01020,STOCK,EQUITY,NSE,TRUE
Aarti Pharmalabs Limited,AARTIPHARM,INE0LRU01027,STOCK,EQUITY,NSE,TRUE
Aarti Surfactants Limited,AARTISURF,INE09EO01013,STOCK,EQUITY,NSE,TRUE
Aarvi Encon Limited,AARVI,INE754X01016,STOCK,EQUITY,NSE,TRUE
Aavas Financiers Limited,AAVAS,INE216P01012,STOCK,EQUITY,NSE,TRUE
Aban Offshore Limited,ABAN,INE421A01028,STOCK,EQUITY,NSE,TRUE
ABB India Limited,ABB,INE117A01022,STOCK,EQUITY,NSE,TRUE
Abbott India Limited,ABBOTINDIA,INE358A01014,STOCK,EQUITY,NSE,TRUE
Aditya Birla Capital Limited,ABCAPITAL,INE674K01013,STOCK,EQUITY,NSE,TRUE
A B Cotspin India Limited,ABCOTS,INE08PH01015,STOCK,EQUITY,NSE,TRUE
Allied Blenders and Distillers Limited,ABDL,INE552Z01027,STOCK,EQUITY,NSE,TRUE
Aditya Birla Fashion and Retail Limited,ABFRL,INE647O01011,STOCK,EQUITY,NSE,TRUE
A B Infrabuild Limited,ABINFRA,INE00YB01025,STOCK,EQUITY,NSE,TRUE
Aditya Birla Lifestyle Brands Limited,ABLBL,INE14LE01019,STOCK,EQUITY,NSE,TRUE
ABM International Limited,ABMINTLLTD,INE251C01025,STOCK,EQUITY,NSE,TRUE
Aditya Birla Real Estate Limited,ABREL,INE055A01016,STOCK,EQUITY,NSE,TRUE
Aditya Birla Sun Life AMC Limited,ABSLAMC,INE404A01024,STOCK,EQUITY,NSE,TRUE
ACC Limited,ACC,INE012A01025,STOCK,EQUITY,NSE,TRUE
Accelya Solutions India Limited,ACCELYA,INE793A01012,STOCK,EQUITY,NSE,TRUE
Accuracy Shipping Limited,ACCURACY,INE648Z01023,STOCK,EQUITY,NSE,TRUE
Action Construction Equipment Limited,ACE,INE731H01025,STOCK,EQUITY,NSE,TRUE
Ace Integrated Solutions Limited,ACEINTEG,INE543V01017,STOCK,EQUITY,NSE,TRUE
Archean Chemical Industries Limited,ACI,INE128X01021,STOCK,EQUITY,NSE,TRUE
Andhra Cements Limited,ACL,INE666E01020,STOCK,EQUITY,NSE,TRUE
Acme Solar Holdings Limited,ACMESOLAR,INE622W01025,STOCK,EQUITY,NSE,TRUE
Acutaas Chemicals Limited,ACUTAAS,INE00FF01025,STOCK,EQUITY,NSE,TRUE
Adani Energy Solutions Limited,ADANIENSOL,INE931S01010,STOCK,EQUITY,NSE,TRUE
Adani Enterprises Limited,ADANIENT,INE423A01024,STOCK,EQUITY,NSE,TRUE
Adani Green Energy Limited,ADANIGREEN,INE364U01010,STOCK,EQUITY,NSE,TRUE
Adani Ports and Special Economic Zone Limited,ADANIPORTS,INE742F01042,STOCK,EQUITY,NSE,TRUE
Adani Power Limited,ADANIPOWER,INE814H01029,STOCK,EQUITY,NSE,TRUE
ADF Foods Limited,ADFFOODS,INE982B01027,STOCK,EQUITY,NSE,TRUE
Archidply Decor Limited,ADL,INE0CHO01012,STOCK,EQUITY,NSE,TRUE
Ador Welding Limited,ADOR,INE045A01017,STOCK,EQUITY,NSE,TRUE
Adroit Infotech Limited,ADROITINFO,INE737B01033,STOCK,EQUITY,NSE,TRUE
Allied Digital Services Limited,ADSL,INE102I01027,STOCK,EQUITY,NSE,TRUE
Advait Energy Transitions Limited,ADVAIT,INE0ALI01010,STOCK,EQUITY,NSE,TRUE
Advance Agrolife Limited,ADVANCE,INE1B0W01010,STOCK,EQUITY,NSE,TRUE
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,INE199C01026,STOCK,EQUITY,NSE,TRUE
Advent Hotels International Limited,ADVENTHTL,INE28GN01010,STOCK,EQUITY,NSE,TRUE
Advanced Enzyme Technologies Limited,ADVENZYMES,INE837H01020,STOCK,EQUITY,NSE,TRUE
Aegis Logistics Limited,AEGISLOG,INE208C01025,STOCK,EQUITY,NSE,TRUE
Aegis Vopak Terminals Limited,AEGISVOPAK,INE0INX01018,STOCK,EQUITY,NSE,TRUE
Aequs Limited,AEQUS,INE947N01017,STOCK,EQUITY,NSE,TRUE
Aeroflex Enterprises Limited,AEROENTER,INE065D01027,STOCK,EQUITY,NSE,TRUE
Aeroflex Industries Limited,AEROFLEX,INE024001021,STOCK,EQUITY,NSE,TRUE
Aeroflex Neu Limited,AERONEU,INE035801013,STOCK,EQUITY,NSE,TRUE
Aether Industries Limited,AETHER,INE0BWX01014,STOCK,EQUITY,NSE,TRUE
Afcons Infrastructure Limited,AFCONS,INE101I01011,STOCK,EQUITY,NSE,TRUE
Affle 3i Limited,AFFLE,INE00WC01027,STOCK,EQUITY,NSE,TRUE
Affordable Robotic & Automation Limited,AFFORDABLE,INE692Z01013,STOCK,EQUITY,NSE,TRUE
Akme Fintrade (India) Limited,AFIL,INE916Y01027,STOCK,EQUITY,NSE,TRUE
Abans Financial Services Limited,AFSL,INE00ZE01026,STOCK,EQUITY,NSE,TRUE
Agarwal Industrial Corporation Limited,AGARIND,INE204E01012,STOCK,EQUITY,NSE,TRUE
Dr. Agarwal's Health Care Limited,AGARWALEYE,INE943P01029,STOCK,EQUITY,NSE,TRUE
AGI Greenpac Limited,AGI,INE415A01038,STOCK,EQUITY,NSE,TRUE
Agi Infra Limited,AGIIL,INE976R01033,STOCK,EQUITY,NSE,TRUE
Agri-Tech (India) Limited,AGRITECH,INE449G01018,STOCK,EQUITY,NSE,TRUE
Agro Phos India Limited,AGROPHOS,INE740V01019,STOCK,EQUITY,NSE,TRUE
AGS Transact Technologies Limited,AGSTRA,INE583L01014,STOCK,EQUITY,NSE,TRUE
Anlon Healthcare Limited,AHCL,INE0Y8W01017,STOCK,EQUITY,NSE,TRUE
Ahlada Engineers Limited,AHLADA,INE00PV01013,STOCK,EQUITY,NSE,TRUE
Asian Hotels (East) Limited,AHLEAST,INE926K01017,STOCK,EQUITY,NSE,TRUE
Ahluwalia Contracts (India) Limited,AHLUCONT,INE758C01029,STOCK,EQUITY,NSE,TRUE
AIA Engineering Limited,AIAENG,INE212H01026,STOCK,EQUITY,NSE,TRUE
Authum Investment & Infrastructure Limited,AIIL,INE206F01022,STOCK,EQUITY,NSE,TRUE
Airan Limited,AIRAN,INE645W01026,STOCK,EQUITY,NSE,TRUE
Airo Lam limited,AIROLAM,INE801L01010,STOCK,EQUITY,NSE,TRUE
Ajanta Pharma Limited,AJANTPHARM,INE031B01049,STOCK,EQUITY,NSE,TRUE
Ajax Engineering Limited,AJAXENGG,INE274Y01021,STOCK,EQUITY,NSE,TRUE
Ajmera Realty & Infra India Limited,AJMERA,INE298G01035,STOCK,EQUITY,NSE,TRUE
Ajooni Biotech Limited,AJOONI,INE820Y01021,STOCK,EQUITY,NSE,TRUE
Akash Infra-Projects Limited,AKASH,INE737W01013,STOCK,EQUITY,NSE,TRUE
Akg Exim Limited,AKG,INE00Y801016,STOCK,EQUITY,NSE,TRUE
AKI India Limited,AKI,INE642Z01026,STOCK,EQUITY,NSE,TRUE
Akshar Spintex Limited,AKSHAR,INE256Z01025,STOCK,EQUITY,NSE,TRUE
AksharChem India Limited,AKSHARCHEM,INE542B01011,STOCK,EQUITY,NSE,TRUE
Aksh Optifibre Limited,AKSHOPTFBR,INE523B01011,STOCK,EQUITY,NSE,TRUE
Akums Drugs and Pharmaceuticals Limited,AKUMS,INE09XN01023,STOCK,EQUITY,NSE,TRUE
Akzo Nobel India Limited,AKZOINDIA,INE133A01011,STOCK,EQUITY,NSE,TRUE
Alankit Limited,ALANKIT,INE914E01040,STOCK,EQUITY,NSE,TRUE
Albert David Limited,ALBERTDAVD,INE155C01010,STOCK,EQUITY,NSE,TRUE
Alembic Limited,ALEMBICLTD,INE426A01027,STOCK,EQUITY,NSE,TRUE
Algoquant Fintech Limited,ALGOQUANT,INE598D01035,STOCK,EQUITY,NSE,TRUE
Alicon Castalloy Limited,ALICON,INE062D01024,STOCK,EQUITY,NSE,TRUE
Alivus Life Sciences Limited,ALIVUS,INE03Q201024,STOCK,EQUITY,NSE,TRUE
Alkali Metals Limited,ALKALI,INE773I01017,STOCK,EQUITY,NSE,TRUE
Alkem Laboratories Limited,ALKEM,INE540L01014,STOCK,EQUITY,NSE,TRUE
Alkyl Amines Chemicals Limited,ALKYLAMINE,INE150B01039,STOCK,EQUITY,NSE,TRUE
Allcargo Logistics Limited,ALLCARGO,INE418H01029,STOCK,EQUITY,NSE,TRUE
Alldigi Tech Limited,ALLDIGI,INE835G01018,STOCK,EQUITY,NSE,TRUE
All Time Plastics Limited,ALLTIME,INE0GV601021,STOCK,EQUITY,NSE,TRUE
Almondz Global Securities Limited,ALMONDZ,INE326B01035,STOCK,EQUITY,NSE,TRUE
Alok Industries Limited,ALOKINDS,INE270A01029,STOCK,EQUITY,NSE,TRUE
Alpa Laboratories Limited,ALPA,INE385I01010,STOCK,EQUITY,NSE,TRUE
Alphageo (India) Limited,ALPHAGEO,INE137C01018,STOCK,EQUITY,NSE,TRUE
Amagi Media Labs Limited,AMAGI,INE121R01077,STOCK,EQUITY,NSE,TRUE
Amanta Healthcare Limited,AMANTA,INE084K01015,STOCK,EQUITY,NSE,TRUE
Amber Enterprises India Limited,AMBER,INE371P01015,STOCK,EQUITY,NSE,TRUE
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,INE792B01012,STOCK,EQUITY,NSE,TRUE
Ambika Cotton Mills Limited,AMBIKCO,INE540G01014,STOCK,EQUITY,NSE,TRUE
Ambuja Cements Limited,AMBUJACEM,INE079A01024,STOCK,EQUITY,NSE,TRUE
AMD Industries Limited,AMDIND,INE005I01014,STOCK,EQUITY,NSE,TRUE
Amj Land Holdings Limited,AMJLAND,INE606A01024,STOCK,EQUITY,NSE,TRUE
Amines & Plasticizers Limited,AMNPLST,INE275D01022,STOCK,EQUITY,NSE,TRUE
Amrutanjan Health Care Limited,AMRUTANJAN,INE098F01031,STOCK,EQUITY,NSE,TRUE
Anand Rathi Wealth Limited,ANANDRATHI,INE463V01026,STOCK,EQUITY,NSE,TRUE
Anant Raj Limited,ANANTRAJ,INE242C01024,STOCK,EQUITY,NSE,TRUE
ANDHRA PAPER LIMITED,ANDHRAPAP,INE435A01051,STOCK,EQUITY,NSE,TRUE
The Andhra Sugars Limited,ANDHRSUGAR,INE715B01021,STOCK,EQUITY,NSE,TRUE
Angel One Limited,ANGELONE,INE732I01021,STOCK,EQUITY,NSE,TRUE
Anik Industries Limited,ANIKINDS,INE087B01017,STOCK,EQUITY,NSE,TRUE
Ankit Metal & Power Limited,ANKITMETAL,INE106I01010,STOCK,EQUITY,NSE,TRUE
Anmol India Limited,ANMOL,INE02AR01019,STOCK,EQUITY,NSE,TRUE
Ansal Properties & Infrastructure Limited,ANSALAPI,INE436A01026,STOCK,EQUITY,NSE,TRUE
Antelopus Selan Energy Limited,ANTELOPUS,INE818A01017,STOCK,EQUITY,NSE,TRUE
Antarctica Limited,ANTGRAPHIC,INE414B01021,STOCK,EQUITY,NSE,TRUE
Anthem Biosciences Limited,ANTHEM,INE0CZ201020,STOCK,EQUITY,NSE,TRUE
Anuh Pharma Limited,ANUHPHR,INE489G01022,STOCK,EQUITY,NSE,TRUE
The Anup Engineering Limited,ANUP,INE294Z01018,STOCK,EQUITY,NSE,TRUE
Anupam Rasayan India Limited,ANURAS,INE930P01018,STOCK,EQUITY,NSE,TRUE
Apar Industries Limited,APARINDS,INE372A01015,STOCK,EQUITY,NSE,TRUE
Anjani Portland Cement Limited,APCL,INE071F01012,STOCK,EQUITY,NSE,TRUE
Apcotex Industries Limited,APCOTEXIND,INE116A01032,STOCK,EQUITY,NSE,TRUE
Apex Frozen Foods Limited,APEX,INE346W01013,STOCK,EQUITY,NSE,TRUE
APL Apollo Tubes Limited,APLAPOLLO,INE702C01027,STOCK,EQUITY,NSE,TRUE
Alembic Pharmaceuticals Limited,APLLTD,INE901L01018,STOCK,EQUITY,NSE,TRUE
Apollo Micro Systems Limited,APOLLO,INE713T01028,STOCK,EQUITY,NSE,TRUE
Apollo Hospitals Enterprise Limited,APOLLOHOSP,INE437A01024,STOCK,EQUITY,NSE,TRUE
Apollo Pipes Limited,APOLLOPIPE,INE126J01016,STOCK,EQUITY,NSE,TRUE
Apollo Tyres Limited,APOLLOTYRE,INE438A01022,STOCK,EQUITY,NSE,TRUE
Apollo Sindoori Hotels Limited,APOLSINHOT,INE451F01024,STOCK,EQUITY,NSE,TRUE
Aptech Limited,APTECHT,INE266F01018,STOCK,EQUITY,NSE,TRUE
Aptus Value Housing Finance India Limited,APTUS,INE852O01025,STOCK,EQUITY,NSE,TRUE
Aqylon Nexus Limited,AQYLON,INE416A01044,STOCK,EQUITY,NSE,TRUE
Archidply Industries Limited,ARCHIDPLY,INE877I01016,STOCK,EQUITY,NSE,TRUE
Archies Limited,ARCHIES,INE731A01020,STOCK,EQUITY,NSE,TRUE
Amara Raja Energy & Mobility Limited,ARE&M,INE885A01032,STOCK,EQUITY,NSE,TRUE
Rajdarshan Industries Limited,ARENTERP,INE610C01014,STOCK,EQUITY,NSE,TRUE
Arfin India Limited,ARFIN,INE784R01023,STOCK,EQUITY,NSE,TRUE
Aries Agro Limited,ARIES,INE298I01015,STOCK,EQUITY,NSE,TRUE
Arihant Capital Markets Limited,ARIHANTCAP,INE420B01036,STOCK,EQUITY,NSE,TRUE
Arihant Superstructures Limited,ARIHANTSUP,INE643K01018,STOCK,EQUITY,NSE,TRUE
Arisinfra Solutions Limited,ARIS,INE0H9P01028,STOCK,EQUITY,NSE,TRUE
Arkade Developers Limited,ARKADE,INE0QRL01017,STOCK,EQUITY,NSE,TRUE
Arman Financial Services Limited,ARMANFIN,INE109C01017,STOCK,EQUITY,NSE,TRUE
Aro Granite Industries Limited,AROGRANITE,INE210C01013,STOCK,EQUITY,NSE,TRUE
Arrow Greentech Limited,ARROWGREEN,INE570D01018,STOCK,EQUITY,NSE,TRUE
Arshiya Limited,ARSHIYA,INE968D01022,STOCK,EQUITY,NSE,TRUE
Anand Rathi Share and Stock Brokers Limited,ARSSBL,INE549H01021,STOCK,EQUITY,NSE,TRUE
Artemis Medicare Services Limited,ARTEMISMED,INE025R01021,STOCK,EQUITY,NSE,TRUE
Art Nirman Limited,ARTNIRMAN,INE738V01013,STOCK,EQUITY,NSE,TRUE
Arvee Laboratories (India) Limited,ARVEE,INE006Z01016,STOCK,EQUITY,NSE,TRUE
Arvind Limited,ARVIND,INE034A01011,STOCK,EQUITY,NSE,TRUE
Arvind Fashions Limited,ARVINDFASN,INE955V01021,STOCK,EQUITY,NSE,TRUE
Arvind SmartSpaces Limited,ARVSMART,INE034S01021,STOCK,EQUITY,NSE,TRUE
Asahi India Glass Limited,ASAHIINDIA,INE439A01020,STOCK,EQUITY,NSE,TRUE
Asahi Songwon Colors Limited,ASAHISONG,INE228I01012,STOCK,EQUITY,NSE,TRUE
Automotive Stampings and Assemblies Limited,ASAL,INE900C01027,STOCK,EQUITY,NSE,TRUE
Associated Alcohols & Breweries Ltd.,ASALCBR,INE073G01016,STOCK,EQUITY,NSE,TRUE
Ashapura Minechem Limited,ASHAPURMIN,INE348A01023,STOCK,EQUITY,NSE,TRUE
Ashiana Housing Limited,ASHIANA,INE365D01021,STOCK,EQUITY,NSE,TRUE
Ashima Limited,ASHIMASYN,INE440A01010,STOCK,EQUITY,NSE,TRUE
Ashoka Buildcon Limited,ASHOKA,INE442H01029,STOCK,EQUITY,NSE,TRUE
Ashoka Metcast Limited,ASHOKAMET,INE760Y01011,STOCK,EQUITY,NSE,TRUE
Ashok Leyland Limited,ASHOKLEY,INE208A01029,STOCK,EQUITY,NSE,TRUE
Asian Energy Services Limited,ASIANENE,INE276G01015,STOCK,EQUITY,NSE,TRUE
Asian Hotels (North) Limited,ASIANHOTNR,INE363A01022,STOCK,EQUITY,NSE,TRUE
Asian Paints Limited,ASIANPAINT,INE021A01026,STOCK,EQUITY,NSE,TRUE
Asian Granito India Limited,ASIANTILES,INE022I01019,STOCK,EQUITY,NSE,TRUE
ASK Automotive Limited,ASKAUTOLTD,INE491J01022,STOCK,EQUITY,NSE,TRUE
Bartronics India Limited,ASMS,INE855F01042,STOCK,EQUITY,NSE,TRUE
Aspinwall and Company Limited,ASPINWALL,INE991I01015,STOCK,EQUITY,NSE,TRUE
Astec LifeSciences Limited,ASTEC,INE563J01010,STOCK,EQUITY,NSE,TRUE
Aster DM Healthcare Limited,ASTERDM,INE914M01019,STOCK,EQUITY,NSE,TRUE
Astral Limited,ASTRAL,INE006I01046,STOCK,EQUITY,NSE,TRUE
Astra Microwave Products Limited,ASTRAMICRO,INE386C01029,STOCK,EQUITY,NSE,TRUE
AstraZeneca Pharma India Limited,ASTRAZEN,INE203A01020,STOCK,EQUITY,NSE,TRUE
Astron Paper & Board Mill Limited,ASTRON,INE646X01014,STOCK,EQUITY,NSE,TRUE
